gender,height_cm,bodyweight_kg,workout_name,set_weight_kg,reps,duration_min,calories_burned,predicted_1rm
M,175,74,Lat Pulldown,150.0,10,3,13.0,200.0
M,175,74,Seated Row,130.0,8,3,13.0,164.66666666666666
M,175,74,Seated Row,130.0,8,3,13.0,164.66666666666666
M,175,74,Seated Row,130.0,8,3,13.0,164.66666666666666
M,175,74,Seated Row,130.0,8,3,13.0,164.66666666666666
M,175,74,Rear delt fly,120.0,12,3,13.0,168.0
M,175,74,Rear delt fly,120.0,10,3,13.0,160.0
M,175,74,Rear delt fly,120.0,12,3,13.0,168.0
M,175,74,Incline Bench Press,135.0,5,4,29.6,157.5
M,175,74,Incline Bench Press,135.0,5,4,29.6,157.5
M,175,74,Incline Bench Press,185.0,6,3,22.2,222.0
M,175,74,Incline Bench Press,185.0,7,3,22.2,228.16666666666669
M,175,74,Incline Bench Press,230.0,8,3,22.2,291.3333333333333
M,175,74,Incline Bench Press,230.0,8,3,22.2,291.3333333333333
M,175,74,Incline Bench Press,230.0,8,3,22.2,291.3333333333333
M,175,74,Incline Bench Press,235.0,6,3,22.2,282.0
M,175,74,Weighted dips,220.0,8,3,13.0,278.66666666666663
M,175,74,Weighted dips,220.0,8,3,13.0,278.66666666666663
M,175,74,Weighted dips,220.0,8,3,13.0,278.66666666666663
M,175,74,Incline Bench Press (Barbell),135.0,5,4,29.6,157.5
M,175,74,Incline Bench Press (Barbell),135.0,5,4,29.6,157.5
M,175,74,Incline Bench Press (Barbell),185.0,6,3,22.2,222.0
M,175,74,Incline Bench Press (Barbell),185.0,7,3,22.2,228.16666666666669
M,175,74,Incline Bench Press (Barbell),230.0,8,3,22.2,291.3333333333333
M,175,74,Incline Bench Press (Barbell),230.0,8,3,22.2,291.3333333333333
M,175,74,Incline Bench Press (Barbell),230.0,8,3,22.2,291.3333333333333
M,175,74,Incline Bench Press (Barbell),235.0,6,3,22.2,282.0
M,175,74,Weighted dips,220.0,8,3,13.0,278.66666666666663
M,175,74,Weighted dips,220.0,8,3,13.0,278.66666666666663
M,175,74,Weighted dips,220.0,8,3,13.0,278.66666666666663
M,175,74,Chin Up,50.0,8,3,13.0,63.33333333333333
M,175,74,Chin Up,50.0,8,3,13.0,63.33333333333333
M,175,74,Chin Up,50.0,8,3,13.0,63.33333333333333
M,175,74,Chin Up,0.0,12,3,13.0,0.0
M,175,74,Seated Row,160.0,9,3,13.0,208.0
M,175,74,Seated Row,175.0,10,3,13.0,233.33333333333331
M,175,74,Seated Row,175.0,10,3,13.0,233.33333333333331
M,175,74,Seated Row,175.0,9,3,13.0,227.5
M,175,74,Rear delt fly,100.0,10,3,13.0,133.33333333333331
M,175,74,Rear delt fly,115.0,10,3,13.0,153.33333333333331
M,175,74,Rear delt fly,115.0,10,3,13.0,153.33333333333331
M,175,74,Rear delt fly,115.0,10,3,13.0,153.33333333333331
M,175,74,Hammer Curl,70.0,10,3,13.0,93.33333333333333
M,175,74,Hammer Curl,80.0,8,3,13.0,101.33333333333333
M,175,74,Chin Up,50.0,8,3,13.0,63.33333333333333
M,175,74,Chin Up,50.0,8,3,13.0,63.33333333333333
M,175,74,Chin Up,50.0,8,3,13.0,63.33333333333333
M,175,74,Chin Up,0.0,12,3,13.0,0.0
M,175,74,Seated Cable Row (close Grip),160.0,9,3,13.0,208.0
M,175,74,Seated Cable Row (close Grip),175.0,10,3,13.0,233.33333333333331
M,175,74,Seated Cable Row (close Grip),175.0,10,3,13.0,233.33333333333331
M,175,74,Seated Cable Row (close Grip),175.0,9,3,13.0,227.5
M,175,74,Rear delt fly,100.0,10,3,13.0,133.33333333333331
M,175,74,Rear delt fly,115.0,10,3,13.0,153.33333333333331
M,175,74,Rear delt fly,115.0,10,3,13.0,153.33333333333331
M,175,74,Rear delt fly,115.0,10,3,13.0,153.33333333333331
M,175,74,Hammer Curl (Dumbbell ),70.0,10,3,13.0,93.33333333333333
M,175,74,Hammer Curl (Dumbbell ),80.0,8,3,13.0,101.33333333333333
M,175,74,Squat,135.0,8,3,22.2,171.0
M,175,74,Squat,185.0,8,3,22.2,234.33333333333331
M,175,74,Squat,225.0,8,3,22.2,285.0
M,175,74,Squat,225.0,8,3,22.2,285.0
M,175,74,Squat,245.0,8,3,22.2,310.3333333333333
M,175,74,Squat,245.0,8,3,22.2,310.3333333333333
M,175,74,Squat,275.0,8,3,22.2,348.3333333333333
M,175,74,Squat,295.0,8,3,22.2,373.66666666666663
M,175,74,Squat,295.0,7,3,22.2,363.83333333333337
M,175,74,Glute extension. ,175.0,10,3,13.0,233.33333333333331
M,175,74,Glute extension. ,175.0,10,3,13.0,233.33333333333331
M,175,74,Squat (Barbell),135.0,8,3,22.2,171.0
M,175,74,Squat (Barbell),185.0,8,3,22.2,234.33333333333331
M,175,74,Squat (Barbell),225.0,8,3,22.2,285.0
M,175,74,Squat (Barbell),225.0,8,3,22.2,285.0
M,175,74,Squat (Barbell),245.0,8,3,22.2,310.3333333333333
M,175,74,Squat (Barbell),245.0,8,3,22.2,310.3333333333333
M,175,74,Squat (Barbell),275.0,8,3,22.2,348.3333333333333
M,175,74,Squat (Barbell),295.0,8,3,22.2,373.66666666666663
M,175,74,Squat (Barbell),295.0,7,3,22.2,363.83333333333337
M,175,74,Glute extension. ,175.0,10,3,13.0,233.33333333333331
M,175,74,Glute extension. ,175.0,10,3,13.0,233.33333333333331
M,175,74,Incline Bench Press,135.0,8,3,22.2,171.0
M,175,74,Incline Bench Press,185.0,5,4,29.6,215.83333333333334
M,175,74,Incline Bench Press,230.0,8,3,22.2,291.3333333333333
M,175,74,Incline Bench Press,230.0,8,3,22.2,291.3333333333333
M,175,74,Incline Bench Press,230.0,8,3,22.2,291.3333333333333
M,175,74,Incline Bench Press,240.0,7,3,22.2,296.0
M,175,74,Seated Military Press,135.0,10,3,13.0,180.0
M,175,74,Seated Military Press,155.0,8,3,13.0,196.33333333333331
M,175,74,Seated Military Press,155.0,8,3,13.0,196.33333333333331
M,175,74,Seated Military Press,165.0,8,3,13.0,209.0
M,175,74,Weighted dips,0.0,12,3,13.0,0.0
M,175,74,Weighted dips,0.0,10,3,13.0,0.0
M,175,74,Incline Bench Press (Barbell),135.0,8,3,22.2,171.0
M,175,74,Incline Bench Press (Barbell),185.0,5,4,29.6,215.83333333333334
M,175,74,Incline Bench Press (Barbell),230.0,8,3,22.2,291.3333333333333
M,175,74,Incline Bench Press (Barbell),230.0,8,3,22.2,291.3333333333333
M,175,74,Incline Bench Press (Barbell),230.0,8,3,22.2,291.3333333333333
M,175,74,Incline Bench Press (Barbell),240.0,7,3,22.2,296.0
M,175,74,Seated Shoulder  Press (Barbell),135.0,10,3,13.0,180.0
M,175,74,Seated Shoulder  Press (Barbell),155.0,8,3,13.0,196.33333333333331
M,175,74,Seated Shoulder  Press (Barbell),155.0,8,3,13.0,196.33333333333331
M,175,74,Seated Shoulder  Press (Barbell),165.0,8,3,13.0,209.0
M,175,74,Weighted dips,0.0,12,3,13.0,0.0
M,175,74,Weighted dips,0.0,10,3,13.0,0.0
M,175,74,Chin Up,50.0,8,3,13.0,63.33333333333333
M,175,74,Chin Up,50.0,9,3,13.0,65.0
M,175,74,Chin Up,50.0,8,3,13.0,63.33333333333333
M,175,74,Seated Row,145.0,11,3,13.0,198.16666666666666
M,175,74,Seated Row,160.0,9,3,13.0,208.0
M,175,74,Seated Row,160.0,8,3,13.0,202.66666666666666
M,175,74,Lat Pulldown,150.0,12,3,13.0,210.0
M,175,74,Lat Pulldown,155.0,12,3,13.0,217.0
M,175,74,Lat Pulldown,155.0,12,3,13.0,217.0
M,175,74,Rear delt fly,115.0,15,2,8.6,172.5
M,175,74,Rear delt fly,115.0,15,2,8.6,172.5
M,175,74,Rear delt fly,115.0,12,3,13.0,161.0
M,175,74,Rear delt fly,115.0,10,3,13.0,153.33333333333331
M,175,74,Chin Up,50.0,8,3,13.0,63.33333333333333
M,175,74,Chin Up,50.0,9,3,13.0,65.0
M,175,74,Chin Up,50.0,8,3,13.0,63.33333333333333
M,175,74,Seated Cable Row (close Grip),145.0,11,3,13.0,198.16666666666666
M,175,74,Seated Cable Row (close Grip),160.0,9,3,13.0,208.0
M,175,74,Seated Cable Row (close Grip),160.0,8,3,13.0,202.66666666666666
M,175,74,Lat Pulldown ,150.0,12,3,13.0,210.0
M,175,74,Lat Pulldown ,155.0,12,3,13.0,217.0
M,175,74,Lat Pulldown ,155.0,12,3,13.0,217.0
M,175,74,Rear delt fly,115.0,15,2,8.6,172.5
M,175,74,Rear delt fly,115.0,15,2,8.6,172.5
M,175,74,Rear delt fly,115.0,12,3,13.0,161.0
M,175,74,Rear delt fly,115.0,10,3,13.0,153.33333333333331
M,175,74,Incline Bench Press,135.0,8,3,22.2,171.0
M,175,74,Incline Bench Press,185.0,7,3,22.2,228.16666666666669
M,175,74,Incline Bench Press,230.0,8,3,22.2,291.3333333333333
M,175,74,Incline Bench Press,230.0,8,3,22.2,291.3333333333333
M,175,74,Incline Bench Press,235.0,8,3,22.2,297.66666666666663
M,175,74,Seated Military Press,165.0,10,3,13.0,220.0
M,175,74,Seated Military Press,165.0,10,3,13.0,220.0
M,175,74,Seated Military Press,165.0,10,3,13.0,220.0
M,175,74,Weighted dips,0.0,10,3,13.0,0.0
M,175,74,Weighted dips,0.0,14,2,8.6,0.0
M,175,74,Incline Bench Press (Barbell),135.0,8,3,22.2,171.0
M,175,74,Incline Bench Press (Barbell),185.0,7,3,22.2,228.16666666666669
M,175,74,Incline Bench Press (Barbell),230.0,8,3,22.2,291.3333333333333
M,175,74,Incline Bench Press (Barbell),230.0,8,3,22.2,291.3333333333333
M,175,74,Incline Bench Press (Barbell),235.0,8,3,22.2,297.66666666666663
M,175,74,Seated Shoulder  Press (Barbell),165.0,10,3,13.0,220.0
M,175,74,Seated Shoulder  Press (Barbell),165.0,10,3,13.0,220.0
M,175,74,Seated Shoulder  Press (Barbell),165.0,10,3,13.0,220.0
M,175,74,Weighted dips,0.0,10,3,13.0,0.0
M,175,74,Weighted dips,0.0,14,2,8.6,0.0
M,175,74,Squat (Barbell),185.0,8,3,22.2,234.33333333333331
M,175,74,Squat (Barbell),225.0,8,3,22.2,285.0
M,175,74,Squat (Barbell),275.0,8,3,22.2,348.3333333333333
M,175,74,Squat (Barbell),275.0,8,3,22.2,348.3333333333333
M,175,74,Squat (Barbell),285.0,8,3,22.2,361.0
M,175,74,Squat (Barbell),295.0,8,3,22.2,373.66666666666663
M,175,74,Glute extension. ,130.0,10,3,13.0,173.33333333333331
M,175,74,Glute extension. ,130.0,10,3,13.0,173.33333333333331
M,175,74,Leg press (hinge ),360.0,10,3,13.0,480.0
M,175,74,Leg press (hinge ),360.0,10,3,13.0,480.0
M,175,74,Leg press (hinge ),360.0,10,3,13.0,480.0
M,175,74,Leg outward fly,100.0,15,2,8.6,150.0
M,175,74,Leg outward fly,100.0,15,2,8.6,150.0
M,175,74,Leg outward fly,100.0,15,2,8.6,150.0
M,175,74,Squat,185.0,8,3,22.2,234.33333333333331
M,175,74,Squat,225.0,8,3,22.2,285.0
M,175,74,Squat,275.0,8,3,22.2,348.3333333333333
M,175,74,Squat,275.0,8,3,22.2,348.3333333333333
M,175,74,Squat,285.0,8,3,22.2,361.0
M,175,74,Squat,295.0,8,3,22.2,373.66666666666663
M,175,74,Glute extension. ,130.0,10,3,13.0,173.33333333333331
M,175,74,Glute extension. ,130.0,10,3,13.0,173.33333333333331
M,175,74,Leg press,360.0,10,3,13.0,480.0
M,175,74,Leg press,360.0,10,3,13.0,480.0
M,175,74,Leg press,360.0,10,3,13.0,480.0
M,175,74,Leg outward fly,100.0,15,2,8.6,150.0
M,175,74,Leg outward fly,100.0,15,2,8.6,150.0
M,175,74,Leg outward fly,100.0,15,2,8.6,150.0
M,175,74,Chin Up,52.5,8,3,13.0,66.5
M,175,74,Chin Up,52.5,8,3,13.0,66.5
M,175,74,Chin Up,52.5,8,3,13.0,66.5
M,175,74,Chin Up,0.0,12,3,13.0,0.0
M,175,74,Rear delt fly,125.0,12,3,13.0,175.0
M,175,74,Rear delt fly,120.0,10,3,13.0,160.0
M,175,74,Rear delt fly,120.0,14,2,8.6,176.0
M,175,74,Seated Row,175.0,12,3,13.0,244.99999999999997
M,175,74,Seated Row,190.0,10,3,13.0,253.33333333333331
M,175,74,Seated Row,190.0,10,3,13.0,253.33333333333331
M,175,74,Seated Row,130.0,12,3,13.0,182.0
M,175,74,Hammer Curl,80.0,15,2,8.6,120.0
M,175,74,Hammer Curl,80.0,15,2,8.6,120.0
M,175,74,Chin Up,52.5,8,3,13.0,66.5
M,175,74,Chin Up,52.5,8,3,13.0,66.5
M,175,74,Chin Up,52.5,8,3,13.0,66.5
M,175,74,Chin Up,0.0,12,3,13.0,0.0
M,175,74,Rear delt fly,125.0,12,3,13.0,175.0
M,175,74,Rear delt fly,120.0,10,3,13.0,160.0
M,175,74,Rear delt fly,120.0,14,2,8.6,176.0
M,175,74,Seated Cable Row (close Grip),175.0,12,3,13.0,244.99999999999997
M,175,74,Seated Cable Row (close Grip),190.0,10,3,13.0,253.33333333333331
M,175,74,Seated Cable Row (close Grip),190.0,10,3,13.0,253.33333333333331
M,175,74,Seated Cable Row (close Grip),130.0,12,3,13.0,182.0
M,175,74,Hammer Curl (Dumbbell ),80.0,15,2,8.6,120.0
M,175,74,Hammer Curl (Dumbbell ),80.0,15,2,8.6,120.0
M,175,74,Seated Military Press (Dumbbell),70.0,10,3,13.0,93.33333333333333
M,175,74,Seated Military Press (Dumbbell),70.0,10,3,13.0,93.33333333333333
M,175,74,Seated Military Press (Dumbbell),180.0,10,3,13.0,240.0
M,175,74,Seated Military Press (Dumbbell),180.0,10,3,13.0,240.0
M,175,74,Seated Military Press (Dumbbell),180.0,10,3,13.0,240.0
M,175,74,Seated Military Press (Dumbbell),120.0,10,3,13.0,160.0
M,175,74,Lateral Raise,40.0,12,3,13.0,56.0
M,175,74,Lateral Raise,40.0,15,2,8.6,60.0
M,175,74,Weighted dips,0.0,10,3,13.0,0.0
M,175,74,Weighted dips,45.0,10,3,13.0,60.0
M,175,74,Weighted dips,90.0,10,3,13.0,120.0
M,175,74,Weighted dips,90.0,10,3,13.0,120.0
M,175,74,Weighted dips,90.0,10,3,13.0,120.0
M,175,74,Seated Shoulder Press (Dumbbell),70.0,10,3,13.0,93.33333333333333
M,175,74,Seated Shoulder Press (Dumbbell),70.0,10,3,13.0,93.33333333333333
M,175,74,Seated Shoulder Press (Dumbbell),180.0,10,3,13.0,240.0
M,175,74,Seated Shoulder Press (Dumbbell),180.0,10,3,13.0,240.0
M,175,74,Seated Shoulder Press (Dumbbell),180.0,10,3,13.0,240.0
M,175,74,Seated Shoulder Press (Dumbbell),120.0,10,3,13.0,160.0
M,175,74,Lateral Raise (Dumbbells),40.0,12,3,13.0,56.0
M,175,74,Lateral Raise (Dumbbells),40.0,15,2,8.6,60.0
M,175,74,Weighted dips,0.0,10,3,13.0,0.0
M,175,74,Weighted dips,45.0,10,3,13.0,60.0
M,175,74,Weighted dips,90.0,10,3,13.0,120.0
M,175,74,Weighted dips,90.0,10,3,13.0,120.0
M,175,74,Weighted dips,90.0,10,3,13.0,120.0
M,175,74,Squat,185.0,6,3,22.2,222.0
M,175,74,Squat,185.0,8,3,22.2,234.33333333333331
M,175,74,Squat,225.0,8,3,22.2,285.0
M,175,74,Squat,250.0,8,3,22.2,316.66666666666663
M,175,74,Squat,280.0,8,3,22.2,354.66666666666663
M,175,74,Squat,290.0,8,3,22.2,367.3333333333333
M,175,74,Squat,300.0,8,3,22.2,380.0
M,175,74,Squat,315.0,8,3,22.2,399.0
M,175,74,Leg press,450.0,12,3,13.0,630.0
M,175,74,Leg press,450.0,12,3,13.0,630.0
M,175,74,Leg press,450.0,12,3,13.0,630.0
M,175,74,Squat (Barbell),185.0,6,3,22.2,222.0
M,175,74,Squat (Barbell),185.0,8,3,22.2,234.33333333333331
M,175,74,Squat (Barbell),225.0,8,3,22.2,285.0
M,175,74,Squat (Barbell),250.0,8,3,22.2,316.66666666666663
M,175,74,Squat (Barbell),280.0,8,3,22.2,354.66666666666663
M,175,74,Squat (Barbell),290.0,8,3,22.2,367.3333333333333
M,175,74,Squat (Barbell),300.0,8,3,22.2,380.0
M,175,74,Squat (Barbell),315.0,8,3,22.2,399.0
M,175,74,Leg press (hinge ),450.0,12,3,13.0,630.0
M,175,74,Leg press (hinge ),450.0,12,3,13.0,630.0
M,175,74,Leg press (hinge ),450.0,12,3,13.0,630.0
M,175,74,Chin Up,52.5,10,3,13.0,70.0
M,175,74,Chin Up,52.5,8,3,13.0,66.5
M,175,74,Chin Up,52.5,9,3,13.0,68.25
M,175,74,Chin Up,0.0,12,3,13.0,0.0
M,175,74,Chin Up,0.0,8,3,13.0,0.0
M,175,74,Seated Cable Row (close Grip),130.0,10,3,13.0,173.33333333333331
M,175,74,Seated Cable Row (close Grip),130.0,10,3,13.0,173.33333333333331
M,175,74,Seated Cable Row (close Grip),130.0,8,3,13.0,164.66666666666666
M,175,74,Bicep Curl (Barbell),70.0,13,2,8.6,100.33333333333333
M,175,74,Bicep Curl (Barbell),70.0,15,2,8.6,105.0
M,175,74,T-bar Row,90.0,12,3,13.0,125.99999999999999
M,175,74,T-bar Row,100.0,10,3,13.0,133.33333333333331
M,175,74,T-bar Row,100.0,10,3,13.0,133.33333333333331
M,175,74,T-bar Row,90.0,12,3,13.0,125.99999999999999
M,175,74,Chin Up,52.5,10,3,13.0,70.0
M,175,74,Chin Up,52.5,8,3,13.0,66.5
M,175,74,Chin Up,52.5,9,3,13.0,68.25
M,175,74,Chin Up,0.0,12,3,13.0,0.0
M,175,74,Chin Up,0.0,8,3,13.0,0.0
M,175,74,Seated Row,130.0,10,3,13.0,173.33333333333331
M,175,74,Seated Row,130.0,10,3,13.0,173.33333333333331
M,175,74,Seated Row,130.0,8,3,13.0,164.66666666666666
M,175,74,Bicep Curl (barbell ),70.0,13,2,8.6,100.33333333333333
M,175,74,Bicep Curl (barbell ),70.0,15,2,8.6,105.0
M,175,74,T-bar Row,90.0,12,3,13.0,125.99999999999999
M,175,74,T-bar Row,100.0,10,3,13.0,133.33333333333331
M,175,74,T-bar Row,100.0,10,3,13.0,133.33333333333331
M,175,74,T-bar Row,90.0,12,3,13.0,125.99999999999999
M,175,74,Incline Bench Press (Barbell),165.0,8,3,22.2,209.0
M,175,74,Incline Bench Press (Barbell),230.0,8,3,22.2,291.3333333333333
M,175,74,Incline Bench Press (Barbell),232.5,8,3,22.2,294.5
M,175,74,Incline Bench Press (Barbell),232.5,8,3,22.2,294.5
M,175,74,Incline Bench Press (Barbell),235.0,8,3,22.2,297.66666666666663
M,175,74,Incline Press (Dumbbell),120.0,11,3,13.0,164.0
M,175,74,Weighted dips,0.0,10,3,13.0,0.0
M,175,74,Weighted dips,0.0,14,2,8.6,0.0
M,175,74,Weighted dips,50.0,12,3,13.0,70.0
M,175,74,Weighted dips,50.0,12,3,13.0,70.0
M,175,74,Lateral Raise (Dumbbells),50.0,12,3,13.0,70.0
M,175,74,Lateral Raise (Dumbbells),50.0,12,3,13.0,70.0
M,175,74,Lateral Raise (Dumbbells),50.0,12,3,13.0,70.0
M,175,74,Tricep pushdown,70.0,15,2,8.6,105.0
M,175,74,Tricep pushdown,70.0,15,2,8.6,105.0
M,175,74,Incline Bench Press,165.0,8,3,22.2,209.0
M,175,74,Incline Bench Press,230.0,8,3,22.2,291.3333333333333
M,175,74,Incline Bench Press,232.5,8,3,22.2,294.5
M,175,74,Incline Bench Press,232.5,8,3,22.2,294.5
M,175,74,Incline Bench Press,235.0,8,3,22.2,297.66666666666663
M,175,74,Incline Press (Dumbbell),120.0,11,3,13.0,164.0
M,175,74,Weighted dips,0.0,10,3,13.0,0.0
M,175,74,Weighted dips,0.0,14,2,8.6,0.0
M,175,74,Weighted dips,50.0,12,3,13.0,70.0
M,175,74,Weighted dips,50.0,12,3,13.0,70.0
M,175,74,Lateral Raise,50.0,12,3,13.0,70.0
M,175,74,Lateral Raise,50.0,12,3,13.0,70.0
M,175,74,Lateral Raise,50.0,12,3,13.0,70.0
M,175,74,Tricep pushdown,70.0,15,2,8.6,105.0
M,175,74,Tricep pushdown,70.0,15,2,8.6,105.0
M,175,74,Chin Up,0.0,12,3,13.0,0.0
M,175,74,Chin Up,0.0,12,3,13.0,0.0
M,175,74,Chin Up,0.0,12,3,13.0,0.0
M,175,74,Chin Up,0.0,12,3,13.0,0.0
M,175,74,Seated Row,130.0,16,2,8.6,199.33333333333331
M,175,74,Seated Row,160.0,22,2,8.6,277.33333333333337
M,175,74,Seated Row,160.0,12,3,13.0,224.0
M,175,74,Seated Row,160.0,12,3,13.0,224.0
M,175,74,Bicep Curl (barbell ),80.0,13,2,8.6,114.66666666666667
M,175,74,Bicep Curl (barbell ),80.0,12,3,13.0,112.0
M,175,74,Bicep Curl (barbell ),80.0,12,3,13.0,112.0
M,175,74,Rear delt fly,115.0,15,2,8.6,172.5
M,175,74,Rear delt fly,115.0,15,2,8.6,172.5
M,175,74,Rear delt fly,115.0,15,2,8.6,172.5
M,175,74,Chin Up,0.0,12,3,13.0,0.0
M,175,74,Chin Up,0.0,12,3,13.0,0.0
M,175,74,Chin Up,0.0,12,3,13.0,0.0
M,175,74,Chin Up,0.0,12,3,13.0,0.0
M,175,74,Seated Cable Row (close Grip),130.0,16,2,8.6,199.33333333333331
M,175,74,Seated Cable Row (close Grip),160.0,22,2,8.6,277.33333333333337
M,175,74,Seated Cable Row (close Grip),160.0,12,3,13.0,224.0
M,175,74,Seated Cable Row (close Grip),160.0,12,3,13.0,224.0
M,175,74,Bicep Curl (Barbell),80.0,13,2,8.6,114.66666666666667
M,175,74,Bicep Curl (Barbell),80.0,12,3,13.0,112.0
M,175,74,Bicep Curl (Barbell),80.0,12,3,13.0,112.0
M,175,74,Rear delt fly,115.0,15,2,8.6,172.5
M,175,74,Rear delt fly,115.0,15,2,8.6,172.5
M,175,74,Rear delt fly,115.0,15,2,8.6,172.5
M,175,74,Seated Shoulder Press (Dumbbell),90.0,10,3,13.0,120.0
M,175,74,Seated Shoulder Press (Dumbbell),180.0,12,3,13.0,251.99999999999997
M,175,74,Seated Shoulder Press (Dumbbell),180.0,12,3,13.0,251.99999999999997
M,175,74,Seated Shoulder Press (Dumbbell),180.0,10,3,13.0,240.0
M,175,74,Weighted dips,0.0,10,3,13.0,0.0
M,175,74,Weighted dips,0.0,10,3,13.0,0.0
M,175,74,Weighted dips,90.0,10,3,13.0,120.0
M,175,74,Weighted dips,90.0,10,3,13.0,120.0
M,175,74,Weighted dips,90.0,10,3,13.0,120.0
M,175,74,Weighted dips,0.0,8,3,13.0,0.0
M,175,74,Seated Shoulder  Press (Barbell),135.0,10,3,13.0,180.0
M,175,74,Seated Shoulder  Press (Barbell),135.0,12,3,13.0,189.0
M,175,74,Incline Bench Press (Barbell),138.0,10,3,22.2,184.0
M,175,74,Seated Military Press (Dumbbell),90.0,10,3,13.0,120.0
M,175,74,Seated Military Press (Dumbbell),180.0,12,3,13.0,251.99999999999997
M,175,74,Seated Military Press (Dumbbell),180.0,12,3,13.0,251.99999999999997
M,175,74,Seated Military Press (Dumbbell),180.0,10,3,13.0,240.0
M,175,74,Weighted dips,0.0,10,3,13.0,0.0
M,175,74,Weighted dips,0.0,10,3,13.0,0.0
M,175,74,Weighted dips,90.0,10,3,13.0,120.0
M,175,74,Weighted dips,90.0,10,3,13.0,120.0
M,175,74,Weighted dips,90.0,10,3,13.0,120.0
